DATE,COUNT
9/15/2016,30
9/16/2016,4
9/19/2016,1
10/7/2016,1
10/11/2016,2
11/1/2016,1
11/18/2016,1
12/22/2016,4
4/20/2017,1
4/21/2017,1
5/24/2017,1
5/25/2017,1
6/7/2017,1
6/9/2017,1
6/14/2017,2
6/27/2017,3
7/7/2017,1
7/19/2017,1
7/24/2017,1
8/17/2017,1
8/18/2017,1
9/20/2017,1
9/21/2017,6
10/25/2017,1
10/31/2017,1
11/7/2017,4
11/15/2017,1
11/21/2017,2
11/22/2017,2
12/15/2017,1
1/23/2018,4
2/8/2018,1
3/10/2018,1
3/15/2018,1
3/24/2018,2
4/11/2018,1
5/10/2018,2
5/11/2018,1
5/18/2018,1
5/23/2018,1
6/21/2018,1
6/28/2018,1
7/11/2018,2
8/31/2018,1
9/6/2018,2
9/7/2018,3
9/14/2018,1
9/17/2018,8
9/18/2018,4
9/20/2018,1
10/29/2018,2
11/6/2018,2
11/7/2018,3
12/19/2018,3
12/20/2018,1
12/21/2018,1
1/9/2019,2
1/14/2019,2
1/30/2019,2
2/5/2019,4
2/6/2019,4
2/21/2019,2
2/25/2019,4
2/26/2019,11
2/28/2019,2
3/7/2019,2
5/6/2019,1
6/4/2019,5
6/7/2019,1
6/10/2019,1
6/13/2019,2
6/14/2019,1
6/18/2019,3
6/19/2019,1
6/25/2019,2
6/26/2019,2
7/29/2019,1
7/30/2019,1
7/31/2019,1
8/2/2019,2
8/20/2019,3
8/26/2019,2
8/30/2019,1
9/3/2019,2
9/4/2019,4
9/10/2019,5
9/13/2019,1
9/14/2019,1
9/17/2019,3
9/18/2019,3
9/20/2019,2
10/1/2019,3
10/3/2019,2
10/4/2019,1
10/10/2019,2
10/11/2019,1
10/16/2019,1
11/9/2019,1
11/13/2019,1
11/15/2019,1
12/6/2019,8
12/9/2019,4
12/10/2019,2
12/16/2019,8
12/17/2019,1
12/21/2019,1
1/10/2020,2
1/18/2020,1
1/30/2020,1
2/4/2020,1
2/5/2020,19
2/13/2020,1
4/27/2020,3
5/6/2020,1
6/17/2020,1
6/18/2020,2
7/2/2020,1
7/16/2020,6
8/11/2020,1
8/25/2020,1
8/31/2020,1
9/14/2020,10
10/15/2020,1
10/19/2020,1
10/21/2020,1
10/22/2020,3
10/26/2020,1
11/4/2020,1
11/5/2020,3
11/12/2020,1
11/13/2020,1
12/4/2020,6
12/5/2020,2
12/8/2020,1
12/10/2020,1
12/11/2020,7
12/12/2020,1
12/16/2020,1
12/17/2020,1
12/18/2020,6
12/19/2020,5
12/22/2020,18
12/23/2020,6
12/24/2020,3
1/5/2021,11
1/6/2021,7
1/13/2021,2
1/19/2021,1
1/21/2021,2
1/22/2021,5
2/4/2021,4
2/18/2021,5
2/19/2021,5
2/20/2021,5
2/23/2021,2
3/13/2021,2
3/15/2021,2
3/23/2021,1
4/2/2021,1
4/3/2021,1
4/5/2021,1
4/7/2021,1
4/8/2021,4
4/9/2021,3
4/12/2021,12
4/28/2021,1
5/18/2021,1
5/20/2021,2
5/26/2021,2
5/27/2021,8
6/2/2021,6
6/3/2021,2
6/4/2021,6
6/9/2021,2
6/10/2021,10
6/11/2021,6
6/16/2021,6
7/7/2021,12
7/13/2021,1
7/20/2021,1
7/29/2021,4
8/2/2021,1
8/3/2021,1
8/5/2021,5
8/13/2021,2
8/19/2021,1
8/20/2021,2
8/24/2021,3
8/25/2021,2
9/8/2021,4
9/9/2021,16
9/10/2021,1
9/13/2021,4
9/14/2021,16
9/15/2021,19
9/16/2021,7
9/17/2021,4
9/18/2021,4
9/20/2021,2
9/27/2021,2
9/30/2021,3
10/1/2021,1
10/18/2021,2
10/19/2021,3
10/22/2021,3
10/23/2021,3
10/25/2021,3
10/26/2021,3
10/29/2021,1
11/2/2021,2
11/3/2021,2
11/24/2021,1
11/25/2021,7
11/30/2021,25
12/2/2021,6
12/3/2021,27
12/4/2021,19
12/14/2021,2
12/15/2021,1
12/17/2021,1
12/24/2021,1
1/6/2022,2
1/7/2022,4
1/18/2022,5
1/20/2022,1
1/21/2022,1
1/29/2022,3
2/10/2022,1
2/11/2022,2
2/14/2022,2
2/17/2022,2
2/18/2022,1
3/1/2022,1
3/11/2022,5
